# Wordlist



# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO
2702	Beijing	bad	104	赖	11	666	bad	334	赖
2703	Wenzhou	bad	104	毛*	12	665	bad	334	毛*
2704	Taibei	bad	104	phai53[禾黑]?鄙?	13	664	bad	334	phai53[禾黑]?鄙?
2705	Wuhan	bad	104	坏	1	663	bad	334	坏
2706	Wuhan	bad	104	拐*	2	662	bad	334	拐*
2707	Taiyuan	bad	104	赖	11	666	bad	334	赖
2708	Taiyuan	bad	104	怀	1	663	bad	334	坏
2709	Yuci	bad	104	赖	11	666	bad	334	赖
2710	Yuci	bad	104	怀	1	663	bad	334	坏
2711	Changsha	bad	104	坏	1	663	bad	334	坏
2712	Changsha	bad	104	拐*	2	662	bad	334	拐*
2713	Shuangfeng	bad	104	坏	1	663	bad	334	坏
2714	Shuangfeng	bad	104	拐*	2	662	bad	334	拐*
#
53	Guangzhou	bark	3	树皮	0	18	bark	372	树皮
54	Suzhou	bark	3	树皮	0	18	bark	372	树皮
55	Meixian	bark	3	树皮	0	18	bark	372	树皮
56	Nanchang	bark	3	树皮	0	18	bark	372	树皮
57	Fuzhou	bark	3	树皮	0	18	bark	372	树皮
58	Ningxia	bark	3	树皮	0	18	bark	372	树皮
59	Lianchang	bark	3	树皮	0	18	bark	372	树皮
60	Ningbo	bark	3	树皮	0	18	bark	372	树皮
61	Yingshan	bark	3	树皮	0	18	bark	372	树皮
62	Chengdu	bark	3	树皮	0	18	bark	372	树皮
63	Zhanping	bark	3	树皮	0	18	bark	372	树皮
64	Shanghai	bark	3	树皮	0	18	bark	372	树皮
65	Shanghai_B	bark	3	树皮	0	18	bark	372	树皮
66	Xiamen	bark	3	树皮	0	18	bark	372	树皮
67	Anyi	bark	3	树皮	0	18	bark	372	树皮
68	Beijing	bark	3	树皮	0	18	bark	372	树皮
69	Wenzhou	bark	3	树皮	0	18	bark	372	树皮
70	Taibei	bark	3	tshiu33 phue13樹皮	0	18	bark	372	树皮
71	Wuhan	bark	3	树皮	0	18	bark	372	树皮
72	Taiyuan	bark	3	树皮	0	18	bark	372	树皮
73	Yuci	bark	3	树皮	0	18	bark	372	树皮
74	Changsha	bark	3	树皮	0	18	bark	372	树皮
75	Shuangfeng	bark	3	树皮	0	18	bark	372	树皮
#
2715	Guangzhou	because	105	因为	2	670	because	441	因为
2716	Guangzhou	because	105	为因	4	668	because	441	为因
2717	Suzhou	because	105	因为	2	670	because	441	因为
2718	Fuzhou	because	105	因为	2	670	because	441	因为
2719	Ningbo	because	105	因为	2	670	because	441	因为
2720	Yingshan	because	105	为	1	671	because	441	为
2721	Chengdu	because	105	因为	2	670	because	441	因为
2722	Zhanping	because	105	因为	2	670	because	441	因为
2723	Shanghai	because	105	因为	2	670	because	441	因为
2724	Shanghai_B	because	105	因为	2	670	because	441	因为
2725	Xiamen	because	105	因为	2	670	because	441	因为
2726	Anyi	because	105	因为	2	670	because	441	因为
2727	Beijing	because	105	因（yong1)为（wei）	2	670	because	441	因为
2728	Wenzhou	because	105	为	1	671	because	441	为
2729	Wenzhou	because	105	因	3	669	because	441	因
2730	Taibei	because	105	in44 ui31因為	2	670	because	441	因为
2731	Wuhan	because	105	因为	2	670	because	441	因为
2732	Taiyuan	because	105	因为	2	670	because	441	因为
2733	Yuci	because	105	因为	2	670	because	441	因为
2734	Changsha	because	105	因为	2	670	because	441	因为
2735	Shuangfeng	because	105	因为	2	670	because	441	因为
#
76	Guangzhou	belly	4	肚	1	23	belly	472	肚
77	Suzhou	belly	4	肚皮	1a	22	belly	472	肚皮
78	Meixian	belly	4	肚屎	1b	21	belly	472	肚屎
79	Nanchang	belly	4	肚子	1c	20	belly	472	肚子
80	Fuzhou	belly	4	腹老	0d	26	belly	472	腹老
81	Ningxia	belly	4	肚子	1c	20	belly	472	肚子
82	Lianchang	belly	4	腹屎	0b	25	belly	472	腹屎
