# Wordlist
@json: {"seeds": ["Nanchang,Yuci,Shanghai", "Fuzhou,Yingshan,Beijing"]}

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO	SEEDID	LOAN
58	Ningxia	bark	3	树皮	0	18	bark	372	树皮	18	0
59	Lianchang	bark	3	树皮	0	18	bark	372	树皮	18	0
60	Ningbo	bark	3	树皮	0	18	bark	372	树皮	18	0
61	Yingshan	bark	3	树皮	0	18	bark	372	树皮	18	0
62	Chengdu	bark	3	树皮	0	18	bark	372	树皮	18	0
63	Zhanping	bark	3	树皮	0	18	bark	372	树皮	18	0
64	Shanghai	bark	3	树皮	0	18	bark	372	树皮	18	0
65	Shanghai_B	bark	3	树皮	0	18	bark	372	树皮	18	0
66	Xiamen	bark	3	树皮	0	18	bark	372	树皮	18	0
67	Anyi	bark	3	树皮	0	18	bark	372	树皮	18	0
68	Beijing	bark	3	树皮	0	18	bark	372	树皮	18	0
69	Wenzhou	bark	3	树皮	0	18	bark	372	树皮	18	0
70	Taibei	bark	3	tshiu33 phue13樹皮	0	18	bark	372	树皮	18	0
71	Wuhan	bark	3	树皮	0	18	bark	372	树皮	18	0
72	Taiyuan	bark	3	树皮	0	18	bark	372	树皮	18	0
73	Yuci	bark	3	树皮	0	18	bark	372	树皮	18	0
74	Changsha	bark	3	树皮	0	18	bark	372	树皮	18	0
75	Shuangfeng	bark	3	树皮	0	18	bark	372	树皮	18	0
#
2715	Guangzhou	because	105	因为	2	670	because	441	因为	670	0
2716	Guangzhou	because	105	为因	4	668	because	441	为因	668	0
2717	Suzhou	because	105	因为	2	670	because	441	因为	670	0
2718	Fuzhou	because	105	因为	2	670	because	441	因为	670	0
2719	Ningbo	because	105	因为	2	670	because	441	因为	670	0
2720	Yingshan	because	105	为	1	671	because	441	为	671	0
2721	Chengdu	because	105	因为	2	670	because	441	因为	670	0
2722	Zhanping	because	105	因为	2	670	because	441	因为	670	0
2723	Shanghai	because	105	因为	2	670	because	441	因为	670	0
2724	Shanghai_B	because	105	因为	2	670	because	441	因为	670	0
2725	Xiamen	because	105	因为	2	670	because	441	因为	670	0
2726	Anyi	because	105	因为	2	670	because	441	因为	670	0
2727	Beijing	because	105	因（yong1)为（wei）	2	670	because	441	因为	670	0
2728	Wenzhou	because	105	为	1	671	because	441	为	671	0
2729	Wenzhou	because	105	因	3	669	because	441	因	669	0
2730	Taibei	because	105	in44 ui31因為	2	670	because	441	因为	670	0
2731	Wuhan	because	105	因为	2	670	because	441	因为	670	0
2732	Taiyuan	because	105	因为	2	670	because	441	因为	670	0
2733	Yuci	because	105	因为	2	670	because	441	因为	670	0
2734	Changsha	because	105	因为	2	670	because	441	因为	670	0
2735	Shuangfeng	because	105	因为	2	670	because	441	因为	670	0
#
76	Guangzhou	belly	4	肚	1	23	belly	472	肚	23	0
77	Suzhou	belly	4	肚皮	1a	22	belly	472	肚皮	22	0
78	Meixian	belly	4	肚屎	1b	21	belly	472	肚屎	21	0
79	Nanchang	belly	4	肚子	1c	20	belly	472	肚子	26	1
80	Fuzhou	belly	4	腹老	0d	26	belly	472	腹老	26	0
81	Ningxia	belly	4	肚子	1c	20	belly	472	肚子	20	0
82	Lianchang	belly	4	腹屎	0b	25	belly	472	腹屎	25	0
83	Ningbo	belly	4	肚皮	1a	22	belly	472	肚皮	22	0
84	Yingshan	belly	4	肚子	1c	20	belly	472	肚子	20	0
85	Chengdu	belly	4	肚子	1c	20	belly	472	肚子	20	0
86	Zhanping	belly	4	腹肚	{01}	27	belly	472	腹肚	27	0
87	Shanghai	belly	4	肚皮	1b	21	belly	472	肚屎	20	1
88	Shanghai_B	belly	4	肚皮	1b	21	belly	472	肚屎	21	0
89	Xiamen	belly	4	腹肚	{01}	27	belly	472	腹肚	27	0
90	Anyi	belly	4	肚哩	1e	19	belly	472	肚哩	19	0
91	Anyi	belly	4	肚子	1c	20	belly	472	肚子	20	0
92	Beijing	belly	4	肚子	1c	20	belly	472	肚子	20	0
93	Wenzhou	belly	4	肚	1	23	belly	472	肚	23	0
94	Taibei	belly	4	pak32腹	0	24	belly	472	pak32腹	24	0
95	Wuhan	belly	4	肚子	1c	20	belly	472	肚子	20	0
96	Taiyuan	belly	4	肚子	1c	20	belly	472	肚子	20	0
97	Yuci	belly	4	肚	1	23	belly	472	肚	23	0
98	Changsha	belly	4	肚子	1c	20	belly	472	肚子	20	0
99	Shuangfeng	belly	4	肚子	1c	20	belly	472	肚子	20	0
#
100	Guangzhou	big	5	大	0	30	big	514	大	30	0
101	Suzhou	big	5	大	0	30	big	514	大	30	0
102	Meixian	big	5	大	0	30	big	514	大	30	0
103	Nanchang	big	5	大	0	30	big	514	大	30	0
104	Fuzhou	big	5	大	0	30	big	514	大	30	0
105	Ningxia	big	5	大	0	30	big	514	大	30	0
106	Lianchang	big	5	大	0	30	big	514	大	30	0
107	Lianchang	big	5	篓[同音字]	2	28	big	514	篓[同音字]	28	0
108	Ningbo	big	5	大	0	30	big	514	大	30	0
109	Yingshan	big	5	大	0	30	big	514	大	30	0
110	Chengdu	big	5	大	0	30	big	514	大	30	0
111	Zhanping	big	5	大	0	30	big	514	大	30	0
112	Shanghai	big	5	du	1	29	big	514	du	29	0
113	Shanghai_B	big	5	du	1	29	big	514	du	29	0
114	Xiamen	big	5	大	0	30	big	514	大	30	0
115	Anyi	big	5	大	0	30	big	514	大	30	0
116	Beijing	big	5	大	0	30	big	514	大	30	0
117	Wenzhou	big	5	大	0	30	big	514	大	30	0
118	Taibei	big	5	tua33大	0	30	big	514	大	30	0
119	Wuhan	big	5	大	0	30	big	514	大	30	0
120	Taiyuan	big	5	大	0	30	big	514	大	30	0
121	Yuci	big	5	大	0	30	big	514	大	30	0
122	Changsha	big	5	大	0	30	big	514	大	30	0
123	Shuangfeng	big	5	大	0	30	big	514	大	30	0
#
124	Guangzhou	bird	6	雀（仔）[小鸟]	2	35	bird	527	雀	35	0
125	Guangzhou	bird	6	雀（仔）[小鸟]	2c	38	bird	527	雀（仔）[小鸟]	38	0
